_id,Districts,VDC/Municipality,Cattle,Buffalo,Yak/ Nak/ Chauri,Sheep,Goat,Pig
1,Sankhuwasabha,Ankhibhui,4679,1197,3,69,9081,1557
2,Sankhuwasabha,Bahrabise,1800,241,-,215,2396,328
3,Sankhuwasabha,Bala,1723,172,-,369,1740,754
4,Sankhuwasabha,Bana,3221,706,-,35,5364,967
5,Sankhuwasabha,Baneswor,2476,619,3,-,4922,765
6,Sankhuwasabha,Chainpur,2287,425,2,238,4959,945
7,Sankhuwasabha,Chepuwa,946,3,731,209,975,287
8,Sankhuwasabha,Dhupu,2509,564,3,159,3884,618
9,Sankhuwasabha,Diding,1558,229,-,143,2181,547
10,Sankhuwasabha,Hatiya,2222,35,353,912,1625,512
11,Sankhuwasabha,Jaljala,2767,848,-,207,4284,765
12,Sankhuwasabha,Keemathnka,31,9,293,-,212,18
13,Sankhuwasabha,Khandbari Municipality,8204,1827,7,387,13570,3114
14,Sankhuwasabha,Kharang,3643,1393,-,15,6946,1235
15,Sankhuwasabha,Madi Mulkharka,3283,861,13,380,5372,829
16,Sankhuwasabha,Madi Rambeni,2246,828,-,32,4725,410
17,Sankhuwasabha,Makalu,1830,703,245,864,2415,778
18,Sankhuwasabha,Mamling,1535,728,-,53,3550,441
19,Sankhuwasabha,Mangtewa,1299,328,4,119,1378,463
20,Sankhuwasabha,Matsya Pokhari,2089,473,2,752,3138,369
21,Sankhuwasabha,Mawadin,1247,339,1,156,2048,569
22,Sankhuwasabha,Num,1774,249,-,335,2824,398
23,Sankhuwasabha,Nundhaki,1135,244,257,323,1912,588
24,Sankhuwasabha,Pathibhara,1527,196,14,454,1594,734
25,Sankhuwasabha,Pawakhola,1895,97,272,730,2370,260
26,Sankhuwasabha,Sabha Pokhari,1783,193,10,74,2536,581
27,Sankhuwasabha,Siddhakali,2556,814,2,392,5180,1027
28,Sankhuwasabha,Siddhapokhari,1741,299,-,206,2528,826
